production_year,num
1874,1
1878,1
1883,1
1887,1
1888,5
1889,2
1890,6
1891,10
1892,9
1893,2
1894,94
1895,117
1896,826
1897,1327
1898,1742
1899,1792
1900,1819
1901,1751
1902,1809
1903,2665
1904,1833
1905,1682
1906,1850
1907,2477
1908,4283
1909,5415
1910,6398
1911,6426
1912,8366
1913,9484
1914,8947
1915,8301
1916,6793
1917,5341
1918,4413
1919,3836
1920,4344
1921,4078
1922,3483
1923,2959
1924,3023
1925,3234
1926,2952
1927,3038
1928,3021
1929,3133
1930,2712
1931,2718
1932,2744
1933,2598
1934,2647
1935,2640
1936,3036
1937,3326
1938,3185
1939,2808
1940,2386
1941,2361
1942,2261
1943,2033
1944,1872
1945,1823
1946,2213
1947,2672
1948,3237
1949,4264
1950,5269
1951,6182
1952,6931
1953,7641
1954,8102
1955,9253
1956,10254
1957,11515
1958,12033
1959,12550
1960,13495
1961,13550
1962,12634
1963,14017
1964,14965
1965,16419
1966,17251
1967,18052
1968,16822
1969,17464
1970,18057
1971,18006
1972,17096
1973,17753
1974,17834
1975,18542
1976,17758
1977,17612
1978,17881
1979,18452
1980,18819
1981,18262
1982,18371
1983,18893
1984,20546
1985,22229
1986,23048
1987,24201
1988,23716
1989,25551
1990,27088
1991,27970
1992,29727
1993,32047
1994,36189
1995,43116
1996,43295
1997,47477
1998,54004
1999,58248
2000,62108
2001,69033
2002,72305
2003,81392
2004,96524
2005,108302
2006,122411
2007,136860
2008,142827
2009,151813
2010,169350
2011,196207
2012,216437
2013,226483
2014,228592
2015,222437
2016,149811
2017,11790
2018,1895
2019,345
2020,141
2021,19
2022,15
2023,15
2024,1
2025,1
2115,1
NULL,213046
